Name,Capital,Area,IsDeveloped,Population,PredominantNationality,Notes
Россия,Москва,17098246,true,146000000,русские,Крупнейшая страна мира по площади
Канада,Оттава,9984670,true,38000000,канадцы,Вторая по площади страна
Китай,Пекин,9596961,false,1412000000,хань,Самая населённая страна мира
США,Вашингтон,9833517,true,331000000,американцы,Одна из ведущих экономик мира
Бразилия,Бразилиа,8515767,false,213000000,бразильцы,Крупнейшая страна Южной Америки
Австралия,Канберра,7692024,true,25700000,австралийцы,Единственный континент‑страна
Индия,Нью‑Дели,3287263,false,1380000000,индийцы,Вторая по численности населения страна
Аргентина,Буэнос‑Айрес,2780400,false,45000000,аргентинцы,Восьмая по площади страна мира
Казахстан,Астана,2724900,false,19000000,казахи,Крупнейшее государство без выхода к океану
Алжир,Алжир,2381741,false,44000000,алжирцы,Крупнейшая по площади страна Африки
Саудовская Аравия,Эр‑Рияд,2149690,false,36000000,арабы,Крупнейший экспортёр нефти
Мексика,Мехико,1964375,false,126000000,мексиканцы,Третья по численности населения страна Северной Америки
Индонезия,Джакарта,1904570,false,276000000,индонезийцы,Крупнейшее островное государство
Нигерия,Абуджа,923768,false,224000000,хауса/йоруба/игбо,Самая населённая страна Африки
Египет,Каир,1001450,false,113000000,египтяне,Древнейшая цивилизация, Суэцкий канал
Иран,Тегеран,1648195,false,89000000,персы,Богатые запасы нефти и газа
Турция,Анкара,783562,false,85000000,турки,Мост между Европой и Азией
Чили,Сантьяго,756102,false,19600000,чилийцы,Самая длинная страна в мире (с севера на юг)
Заир,Киншаса,2344858,false,102000000,конго,Крупнейшая страна Центральной Африки
Финляндия,Хельсинки,338424,true,5500000,финны,Много озёр, высокий уровень жизни
Норвегия,Осло,323802,true,5400000,норвежцы,Крупный производитель нефти и газа в Европе
Швеция,Стокгольм,447425,true,10500000,шведы,Высокий уровень социального обеспечения
Германия,Берлин,357596,true,83000000,немцы,Экономический лидер ЕС
Франция,Париж,643801,true,67000000,французы,Крупная ядерная держава
Япония,Токио,377975,true,126000000,японцы,Высокие технологии, низкая рождаемость
Италия,Рим,301340,true,60000000,итальянцы,Богатое культурное наследие
ЮАР,Претория,1221037,false,60000000,зулу/коса/африканеры,Богата полезными ископаемыми
Колумбия,Богота,1141748,false,51000000,колумбийцы,Крупный экспортёр кофе
Испания,Мадрид,505992,true,47000000,испанцы,Популярное туристическое направление
Сирия,Дамаск,185180,false,22000000,арабы,Длительный вооружённый конфликт
Ирак,Багдад,438317,false,41000000,арабы,Богатые нефтяные запасы
Афганистан,Кабул,652230,false,40000000,пуштуны/таджики,Горная страна, нестабильность
Мьянма,Нейпьидо,676578,false,54000000,бирманцы,Бывшая британская колония
Пакистан,Исламабад,881913,false,225000000,пенджабцы,Ядерная держава, высокая плотность населения
Марокко,Рабат,446550,false,37000000,марокканцы,Северная Африка, близость к Европе
Уганда,Кампала,241038,false,48000000,ганда,Богатая природа, национальный парк
Кения,Найроби,581309,false,55000000,кикуйю,Родина сафари, кофейные плантации
Судан,Хартум,1886068,false,48000000,суданцы,Крупная страна Северной Африки
Ангола,Луанда,1246700,false,35000000,овимбунду,Богата нефтью и алмазами
Мали,Бамако,1240192,false,22000000,бамбара,Крупная территория, нет выхода к морю
Буркина‑Фасо,Уагадугу,274200,false,23000000,моси,Бывшая французская колония
Сенегал,Дакар,196722,false,18000000,волоф,Стабильная демократия в Западной Африке
Гана,Аккра,238535,false,31000000,акан,Первый африканский колония, получившая независимость
Кот‑д’Ивуар,Абиджан,322463,false,28000000,бауле,Крупный экспортёр какао
Либерия,Монровия,111369,false,5200000,кпелле,Основана освобождёнными рабами из США
Намибия,Виндхук,825615,false,2600000,овамбо,Низкая плотность населения, пустыни
Ботсвана,Габороне,581730,false,2500000,тсвана,Стабильная экономика, алмазные копи
Зимбабве,Хараре,390757,false,16000000,шона,Экономические трудности, богатая история
Мозамбик,Мапуту,801590,false,32000000,макуа,Побережье Индийского океана
Мадагаскар,Антананариву,587041,false,29000000,малагасийцы,Крупнейший остров Индийского океана
Сомали,Могадишо,637657,false,16000000,сомалийцы,Длительная нестабильность
Йемен,Сана,527968,false,31000000,йеменцы,Один из беднейших регионов Ближнего Востока
